,sa,ce,CE
0,0.84819495677948,0.1,0.2
1,0.8365696668624878,0.11,0.2
2,0.8140379190444946,0.12000000000000001,0.2
3,0.8558038473129272,0.13,0.2
4,0.8480947017669678,0.14,0.2
5,0.8729122877120972,0.15000000000000002,0.2
6,0.9022388458251953,0.16,0.2
7,0.8467077016830444,0.17,0.2
8,0.882054328918457,0.18,0.2
9,0.8617446422576904,0.19,0.2
10,0.8859413266181946,0.2,0.2
11,0.8784856796264648,0.21000000000000002,0.2
12,0.8702625632286072,0.22,0.2
13,0.8539062738418579,0.23,0.2
14,0.8270938992500305,0.24000000000000002,0.2
15,0.8047497272491455,0.25,0.2
16,0.7465336918830872,0.26,0.2
17,0.7503924369812012,0.27,0.2
18,0.647944450378418,0.28,0.2
19,0.6303887963294983,0.29000000000000004,0.2
20,0.591101884841919,0.30000000000000004,0.2
21,0.5462214350700378,0.31,0.2
22,0.555806577205658,0.32,0.2
23,0.4623664319515228,0.33,0.2
24,0.4573749005794525,0.33999999999999997,0.2
25,0.31041812896728516,0.35,0.2
26,0.3021174669265747,0.36,0.2
27,0.38035622239112854,0.37,0.2
28,0.25916188955307007,0.38,0.2
29,0.2417537271976471,0.39,0.2
30,0.2366739809513092,0.4,0.2
31,0.247185617685318,0.41000000000000003,0.2
32,0.43343761563301086,0.42000000000000004,0.2
33,0.2875300645828247,0.43000000000000005,0.2
34,0.2702183723449707,0.44000000000000006,0.2
35,0.25662967562675476,0.45000000000000007,0.2
36,0.22643819451332092,0.45999999999999996,0.2
37,0.3501242399215698,0.47,0.2
38,0.34769102931022644,0.48,0.2
39,0.32403138279914856,0.49,0.2
40,0.2856641411781311,0.5,0.2
41,0.8448656797409058,0.1,0.25
42,0.8349883556365967,0.11,0.25
43,0.8514890074729919,0.12000000000000001,0.25
44,0.8389439582824707,0.13,0.25
45,0.8258188366889954,0.14,0.25
46,0.8633832931518555,0.15000000000000002,0.25
47,0.8350043296813965,0.16,0.25
48,0.8880337476730347,0.17,0.25
49,0.8421050906181335,0.18,0.25
50,0.8360265493392944,0.19,0.25
51,0.8677064180374146,0.2,0.25
52,0.8525034189224243,0.21000000000000002,0.25
53,0.8905107975006104,0.22,0.25
54,0.9139419198036194,0.23,0.25
55,0.9250969886779785,0.24000000000000002,0.25
56,0.9403918981552124,0.25,0.25
57,0.9344186782836914,0.26,0.25
58,0.903875470161438,0.27,0.25
59,0.8744763135910034,0.28,0.25
60,0.8428735733032227,0.29000000000000004,0.25
61,0.7552917003631592,0.30000000000000004,0.25
62,0.7846814393997192,0.31,0.25
63,0.687241792678833,0.32,0.25
64,0.7280588150024414,0.33,0.25
65,0.6033046245574951,0.33999999999999997,0.25
66,0.5891245007514954,0.35,0.25
67,0.5113722085952759,0.36,0.25
68,0.4941003620624542,0.37,0.25
69,0.49335116147994995,0.38,0.25
70,0.43949073553085327,0.39,0.25
71,0.4750117063522339,0.4,0.25
72,0.46789371967315674,0.41000000000000003,0.25
73,0.45089462399482727,0.42000000000000004,0.25
74,0.4650594890117645,0.43000000000000005,0.25
75,0.41149523854255676,0.44000000000000006,0.25
76,0.4532317817211151,0.45000000000000007,0.25
77,0.3855593502521515,0.45999999999999996,0.25
78,0.4632456600666046,0.47,0.25
79,0.4653344750404358,0.48,0.25
80,0.34950312972068787,0.49,0.25
81,0.4185439646244049,0.5,0.25
82,0.6224380731582642,0.1,0.3
83,0.6191630363464355,0.11,0.3
84,0.6737836599349976,0.12000000000000001,0.3
85,0.699494481086731,0.13,0.3
86,0.6519830822944641,0.14,0.3
87,0.6492640972137451,0.15000000000000002,0.3
88,0.6395242214202881,0.16,0.3
89,0.6127424240112305,0.17,0.3
90,0.634415328502655,0.18,0.3
91,0.6794270873069763,0.19,0.3
92,0.6226436495780945,0.2,0.3
93,0.6101784706115723,0.21000000000000002,0.3
94,0.6898449659347534,0.22,0.3
95,0.6773020625114441,0.23,0.3
96,0.7218118906021118,0.24000000000000002,0.3
97,0.7797517776489258,0.25,0.3
98,0.8256703615188599,0.26,0.3
99,0.854983925819397,0.27,0.3
100,0.8681566715240479,0.28,0.3
101,0.8906641006469727,0.29000000000000004,0.3
102,0.939957857131958,0.30000000000000004,0.3
103,0.9167837500572205,0.31,0.3
104,0.886110782623291,0.32,0.3
105,0.8320269584655762,0.33,0.3
106,0.7991386651992798,0.33999999999999997,0.3
107,0.7320472002029419,0.35,0.3
108,0.7240622043609619,0.36,0.3
109,0.652164101600647,0.37,0.3
110,0.5604424476623535,0.38,0.3
111,0.6029083728790283,0.39,0.3
112,0.574246883392334,0.4,0.3
113,0.576448917388916,0.41000000000000003,0.3
114,0.5584754943847656,0.42000000000000004,0.3
115,0.5612159967422485,0.43000000000000005,0.3
116,0.5411937236785889,0.44000000000000006,0.3
117,0.5965689420700073,0.45000000000000007,0.3
118,0.5861979722976685,0.45999999999999996,0.3
119,0.5602743625640869,0.47,0.3
120,0.5735856294631958,0.48,0.3
121,0.5832511186599731,0.49,0.3
122,0.5800399780273438,0.5,0.3
123,0.4334546625614166,0.1,0.35
124,0.4463464319705963,0.11,0.35
125,0.35701555013656616,0.12000000000000001,0.35
126,0.3985483646392822,0.13,0.35
127,0.3867308795452118,0.14,0.35
128,0.38003119826316833,0.15000000000000002,0.35
129,0.416352242231369,0.16,0.35
130,0.43599310517311096,0.17,0.35
131,0.4564262628555298,0.18,0.35
132,0.41885891556739807,0.19,0.35
133,0.4169657528400421,0.2,0.35
134,0.4550604522228241,0.21000000000000002,0.35
135,0.5102845430374146,0.22,0.35
136,0.4453270435333252,0.23,0.35
137,0.5479670166969299,0.24000000000000002,0.35
138,0.5424547791481018,0.25,0.35
139,0.5888245105743408,0.26,0.35
140,0.6226456761360168,0.27,0.35
141,0.665209174156189,0.28,0.35
142,0.6880022883415222,0.29000000000000004,0.35
143,0.716103196144104,0.30000000000000004,0.35
144,0.7806861400604248,0.31,0.35
145,0.8097459077835083,0.32,0.35
146,0.8132610321044922,0.33,0.35
147,0.8926102519035339,0.33999999999999997,0.35
148,0.9074129462242126,0.35,0.35
149,0.8662592172622681,0.36,0.35
150,0.8513554334640503,0.37,0.35
151,0.8075506687164307,0.38,0.35
152,0.7659294605255127,0.39,0.35
153,0.7539064884185791,0.4,0.35
154,0.779386043548584,0.41000000000000003,0.35
155,0.7721489667892456,0.42000000000000004,0.35
156,0.7541756629943848,0.43000000000000005,0.35
157,0.7701581716537476,0.44000000000000006,0.35
158,0.7489293813705444,0.45000000000000007,0.35
159,0.7673285603523254,0.45999999999999996,0.35
160,0.7404221296310425,0.47,0.35
161,0.7373487949371338,0.48,0.35
162,0.7748425006866455,0.49,0.35
163,0.752890944480896,0.5,0.35
164,0.3003486096858978,0.1,0.4
165,0.33877843618392944,0.11,0.4
166,0.32645586133003235,0.12000000000000001,0.4
167,0.3744172751903534,0.13,0.4
168,0.30090823769569397,0.14,0.4
169,0.2964518964290619,0.15000000000000002,0.4
170,0.28657543659210205,0.16,0.4
171,0.32219648361206055,0.17,0.4
172,0.36705726385116577,0.18,0.4
173,0.36069947481155396,0.19,0.4
174,0.3390107750892639,0.2,0.4
175,0.3815886676311493,0.21000000000000002,0.4
176,0.342862606048584,0.22,0.4
177,0.38088876008987427,0.23,0.4
178,0.3639011085033417,0.24000000000000002,0.4
179,0.4010290205478668,0.25,0.4
180,0.42582225799560547,0.26,0.4
181,0.43758365511894226,0.27,0.4
182,0.49437111616134644,0.28,0.4
183,0.517056405544281,0.29000000000000004,0.4
184,0.5770261883735657,0.30000000000000004,0.4
185,0.5826864242553711,0.31,0.4
186,0.6577498912811279,0.32,0.4
187,0.6944906711578369,0.33,0.4
188,0.7025744915008545,0.33999999999999997,0.4
189,0.7849205136299133,0.35,0.4
190,0.7874830961227417,0.36,0.4
191,0.8577147722244263,0.37,0.4
192,0.8765221238136292,0.38,0.4
193,0.9108799695968628,0.39,0.4
194,0.905987560749054,0.4,0.4
195,0.9171044826507568,0.41000000000000003,0.4
196,0.8942402601242065,0.42000000000000004,0.4
197,0.9107947945594788,0.43000000000000005,0.4
198,0.9202474355697632,0.44000000000000006,0.4
199,0.8892514109611511,0.45000000000000007,0.4
200,0.9187802672386169,0.45999999999999996,0.4
201,0.9147780537605286,0.47,0.4
202,0.901124119758606,0.48,0.4
203,0.8809456825256348,0.49,0.4
204,0.9094914197921753,0.5,0.4
